판매처,위도,경도,주소,연락처
(경기광명)동아에스엠 소하동지점,37.433251,126.879768,경기 광명시 오리로 346,
(경기광명)드림모바일,37.477939,126.850815,"경기도 광명시  광명로865번안길 9-1 , 1층",
(경기광명)제이제이텔레콤,37.464369,126.874178,"경기도 광명시  안현로 19 (하안동,1단지상가공12호)",
(경기부천)경인정보,37.485269,126.783293,경기도 부천시 부천로 12경인정보,
(경기부천)모바일JM,37.490608,126.790566,경기도 부천시 원미구 원미로 90,
(경기부천)별샵모바일,37.484032,126.782853,"경기도 부천시 소사구  부천로 1,지하1층 166호",
(경기부천)비에프(BF)모바일,37.494630,126.783447,"경기도 부천시  부일로 516, 101호(심곡동, 에버그린)",
(경기부천)신세계통신(부천),37.473499,126.795264,경기도 부천시  소사로 171 ,
(경기부천)에스비정보통신,37.488823,126.774173,경기도 부천시 원미구  신흥로53번길 53(심곡동),
(경기부천)우리모바일,37.494140,126.790736,경기도 부천시 원미구  원미로 129 이동 1층 3호(원미동),
(경기부천)위너TFK-신중동점,37.501629,126.771772,"경기 부천시 중동로248번길 55,1층 108호 (중동,무광프라자)",
(경기부천)주식회사동아모바일(지점),37.479510,126.791267,"경기 부천시 소사로 124,1층 101호 (소사본동)",
(경기부천)지성정보통신,37.507971,126.779986,"경기도 부천시  옥산로 161 , A동 101호",
(경기부천)퍼스트파트너,37.488839,126.755346,"경기 부천시 원미구 부일로 223,1동 1층 100호 (상동,일공이공)",
(경기부천)폰가게,37.486984,126.783968,"경기도 부천시  부일로483번길 29 , 1층일부 ",
(경기부천)호랑이통신,37.519544,126.789036,경기도 부천시 삼작로 3971층,
(경기성남)폰박스,37.469565,127.141457,경기도 성남시 수정구 위례광장로 345B 108호,
(경기수원)비와이텔레콤,37.269475,126.998482,"경기도 수원시 팔달구  덕영대로 지하 907-65 ,64호 ",
(경기수원)에스엠티엠 컴퍼니,37.269279,127.001008,"경기도 수원시 팔달구  향교로1번길 22-19 , 1층6호",
(경기수원)원텔정보통신,37.269475,126.998482,"경기도 수원시 팔달구  덕영대로 지하 907-65 , 48호",
(경기수원)주식회사 폰오션 2호점,37.271699,126.942219,"경기도 수원시 권선구  금곡로118번길 64 , 101 ~ 105호",
(경기수원)초코텔레콤,37.271049,126.985275,"경기도 수원시 권선구  상탑로 129 , 1층 ",
"(경기수원)판다텔레콤,위너피플",37.245132,127.055957,경기도 수원시 영통구 영통로 195지하 1층 B103호,
(경기시흥)더차칸모바일2호점,37.369232,126.811325,"경기 시흥시 장현능곡로 192,1층 109호 (능곡동,정우빌딩)",
(경기시흥)삼성통신사무기,37.347722,126.745968,경기 시흥시 정왕동 1824-7,
(경기시흥)신세기통신(정왕),37.344075,126.746989,"경기도 시흥시  정왕시장길 29-1 , 1층 (정왕동)",
(경기시흥)이리모바일(온라인),37.382380,126.860944,"경기 시흥시 솔고개길 3-4,(목감동) 101~102호",
(경기시흥)하니 텔레콤,37.437957,126.779952,경기도 시흥시  신천5길 22(신천동),
(경기시흥)호현텔레콤,37.445473,126.797589,경기 시흥시 대야동 576 이수빌딩 116,
(경기안산)TR모바일,37.324074,126.797444,"경기도 안산시 단원구  중앙대로 445, 101호(원곡동)",
(경기안산)건풍번역사,37.329779,126.791932,"경기도 안산시 단원구  다문화1길 59 , 102호",
(경기안산)비씨모바일 선부점,37.335578,126.812659,"경기도 안산시 단원구  선부광장1로 82 , 101호 102호",
(경기안산)비씨모바일 중앙점,37.318662,126.836513,"경기도 안산시 상록구  예술대학로 17 , 111-1호, 111-2호",
(경기안산)원풍 원곡점,,,,
(경기안산)일맥상통신,37.314641,126.832643,경기 안산시 단원구 고잔동 724-4 112,
(경기안산)제이앤제이지지,37.284205,126.853198,"경기도 안산시 상록구  장화3길 44 , 1층 101호 ",
(경기안산)채봉통신,37.343241,126.805752,"경기 안산시 단원구 북촌3길 22,101호 (선부동)",
(경기안산)티케이엘텔레콤,37.326049,126.789132,"경기도 안산시 단원구  풍전로 37-24 ,319동 110호",
(경기안산)펀치모바일,37.283461,126.848927,"경기 안산시 상록구 평안로2길 11,",
(경기안산)폰상점(댜니모바일),37.294197,126.855114,"경기도 안산시 상록구  석호로 219 , 1층 101호 ",
(경기안성)휴대폰 도매프라자 롯데캐슬점(흥진),37.013188,127.226149,경기도 안성시 대덕면 서동대로 4723신령리500-20.500-24 104호,
(경기안성)휴대폰 도매프라자 본점(흥진),37.001420,127.174994,경기도 안성시 공도읍 공도로 132골드1번가 휴대폰 도매프라자,
(경기안성)휴대폰 면세점 공도점(흥진),37.000482,127.172122,경기도 안성시 공도읍 공도4로 3 1층,
(경기안성)휴대폰 면세점 안성점,37.016414,127.258299,경기도 안성시 남파로 75-1가동,
(경기안성)휴대폰멀티샵 공도점,37.000573,127.172951,"경기 안성시 공도읍 공도로 109,",031-691-6010
(경기안양)에스엠모바일,37.397023,126.921913,"경기도 안양시 만안구  안양로 301 , 지층 41호 ",
(경기안양)열린정보통신,37.391761,126.934687,경기도 안양시 만안구  덕천로 126,
(경기안양)열린정보통신(2호점),37.402755,126.913187,경기도 안양시 만안구  박달로 545 1층 103호,
(경기안양)웹컴통신,37.395452,126.920832,"경기도 안양시 만안구  냉천로 171 , 1층",
(경기안양)으뜸통신,37.395023,126.918355,"경기도 안양시 만안구  장내로 86, 1층(안양동)",
(경기안양)정민텔레콤,37.390473,126.949366,경기 안양시 동안구 비산동1107 무역센터 224,
(경기안양)탑모바일,37.413899,126.908375,"경기도 안양시 만안구  안양로 501 , 1층",
(경기오산)궐동폰,37.159343,127.065855,"경기 오산시 죽담3로 12,(궐동,단독)",
(경기오산)이루다태유-오시점 3호,37.148627,127.072409,"경기 오산시 성호대로 100,(원동,소울빌딩)",
(경기오산)주식회사 이루다태유1호,37.134002,127.068800,"경기도 오산시  오산로 79 , 105호 ",
(경기오산)주식회사 이루다태유-세교점2호,37.179487,127.038616,"경기 오산시 수목원로 462,(금암동,무한메디컬센터) 106호",
(경기오산)케이엠텔레콤,37.149968,127.068184,"경기도 오산시  오산로 255 , 1층 ",
(경기용인)시우모바일 동천점,37.346520,127.073659,경기도 용인시 수지구 동천로 691호,
(경기용인)제이피모바일,37.268497,127.214956,경기도 용인시 처인구 포곡읍 포곡로 83,
(경기용인)휴대폰상점,37.307852,127.084676,"경기도 용인시 수지구 만현로 100거묵프라자 104호, 105호",
(경기의왕)(주)씨지에스,37.319276,126.951484,경기도 의왕시  부곡시장길 23 ,
(경기평택)니하오텔레콤,36.995304,127.085577,"경기도 평택시  중앙로 19-1 , 1층",
(경기평택)베스트코리안모바일,36.994139,127.086517,"경기도 평택시  평택로64번길 33 , 1층",
(경기평택)비젼폰,36.994277,127.111922,"경기 평택시 평택5로 94,1층 11호 (비전동)",
(경기평택)세교폰,37.008529,127.090225,경기도 평택시 세교8길 341층,
(경기평택)안중폰,36.977246,126.926500,"경기 평택시 안중읍 송담5길 28-17,101호",
(경기평택)에이치엠 안중점,36.983026,126.928568,"경기도 평택시 안중읍 안현로서6길 3 , 1층",
(경기평택)이혜리핸드폰,36.992972,127.085900,"경기도 평택시  평택로 64 , 1층",
(경기평택)임란모바일,36.993494,127.084880,경기도 평택시  평택로 75,
(경기평택)제이디텔레콤 안중점,36.979395,126.921107,"경기 평택시 안중읍 안현로서8길 33,101호",
(경기평택)주식회사 나우이공이,37.017940,126.917480,경기도 평택시 청북읍 안청로2길 33-36115호,
(경기평택)총각네 텔레콤,36.990853,127.087964,"경기도 평택시  평택로32번길 1 , 1층",
(경기평택)휴대폰싸나이,36.992354,127.100663,"경기 평택시 중앙로 159,1층 101호 (비전동,드림문구)",
(경기평택)휴대폰클라쓰(포승),36.960950,126.855775,경기도 평택시 포승읍 서동대로 788휴대폰클라쓰,
(경기화성)스타통신,37.127626,126.854215,경기도 화성시 팔탄면 버들로 1339,
(본점소속)매장(과천청사점),37.427996,126.992944,"경기 과천시 별양상가로 7,124호 (별양동,벽산상가)",
(본점소속)매장(구로디지털단지점),37.484297,126.899260,서울특별시 구로구  디지털로34길 55 113호,
(본점소속)매장(범계직영점),37.390603,126.953849,경기도 안양시 동안구  평촌대로223번길 31,
(본점소속)매장(시흥대로점),37.475879,126.899032,"서울특별시 금천구  시흥대로 474(독산동,유창빌딩101호)",
(본점소속)매장(안양본점),37.398446,126.922412,경기도 안양시 만안구 안양로 292번길 8,
