실시간재고현황(재고세부내역) - 조직/기준일
조직:D13225C000 일자:20260530
No,레벨0조직명,레벨1조직명,레벨2조직명,레벨3조직명,영업담당,거래처구분,채널코드,제조사,보유처매장코드,보유처코드,보유처,재고이동입고일자,대표상품명,모델명,모델코드,색상코드,색상,일련번호,비고,상품구분,불량여부,실구매가,현재고금액,확정여신가,확정현금가,매입처,입고일자,입고처매장코드,입고처코드,입고처,구매유형,재고기간,재고이동출고일자,보유기간,시연재고여부,개봉구분,재고상태,Network세대,재고구분,최초입고대리점,배송구분,박스번호,개별번호,최초입고레벨0조직명,최초입고레벨1조직명,최초입고레벨2조직명,최초입고레벨3조직명,유통단말구분
"1","광장대리점","도매(판매점)","김경호","","김경호","기타거래처(1)","","삼성전자(주)","D13225","T0210277","(본사)김경호","2026-05-26","SM-F966N","SM-F966N","A6L1","20","검정","1141362","","단말기","정상","2379300","2379300","2379300","2379300","SKNetworks","2026-03-20","D13225A000","T0015391","광장대리점","신품향","72","2026-05-26","5","","미개봉","가용(이동입고)","5G(SA)","","광장대리점","재고보유","","","광장대리점","재고팀","","","OEM(SKN)"
"2","광장대리점","도매(판매점)","김경호","","김경호","기타거래처(1)","","삼성전자(주)","D13225","T0210277","(본사)김경호","2026-05-23","SM-A566S","SM-A566SA","A6MU","22","회색","1201116","","단말기","정상","618200","618200","618200","610500","SKNetworks","2026-05-19","D13225A000","T0015391","광장대리점","신품향","12","2026-05-23","8","","미개봉","가용(이동입고)","5G(SA)","","광장대리점","재고보유","","","광장대리점","재고팀","","","OEM(SKN)"
"3","광장대리점","도매(판매점)","김경호","","김경호","기타거래처(1)","","삼성전자(주)","D13225","T0210277","(본사)김경호","2026-05-27","SM-A566S","SM-A566SA","A6MU","22","회색","1201455","","단말기","정상","618200","618200","618200","610500","SKNetworks","2026-05-19","D13225A000","T0015391","광장대리점","신품향","12","2026-05-27","4","","미개봉","가용(이동입고)","5G(SA)","","광장대리점","재고보유","","","광장대리점","재고팀","","","OEM(SKN)"
"4","광장대리점","도매(판매점)","김경호","","김경호","기타거래처(1)","","삼성전자(주)","D13225","T0210277","(본사)김경호","2026-05-23","SM-A566S","SM-A566SA","A6MU","22","회색","1201905","","단말기","정상","618200","618200","618200","610500","SKNetworks","2026-05-19","D13225A000","T0015391","광장대리점","신품향","12","2026-05-23","8","","미개봉","가용(이동입고)","5G(SA)","","광장대리점","재고보유","","","광장대리점","재고팀","","","OEM(SKN)"
"5","광장대리점","도매(판매점)","김경호","","김경호","기타거래처(1)","","삼성전자(주)","D13225","T0210277","(본사)김경호","2026-05-23","SM-A566S","SM-A566SA","A6MU","22","회색","1202215","","단말기","정상","618200","618200","618200","610500","SKNetworks","2026-05-19","D13225A000","T0015391","광장대리점","신품향","12","2026-05-23","8","","미개봉","가용(이동입고)","5G(SA)","","광장대리점","재고보유","","","광장대리점","재고팀","","","OEM(SKN)"
"6","광장대리점","도매(판매점)","김경호","","김경호","기타거래처(1)","","삼성전자(주)","D13225","T0210277","(본사)김경호","2026-05-27","SM-A175N","SM-A175NB","A6SE","49","라이트블루","5875812","","단말기","정상","319000","319000","319000","315700","SKNetworks","2026-05-27","D13225A000","T0015391","광장대리점","신품향","4","2026-05-27","4","","미개봉","가용(이동입고)","4G(LTE)","","광장대리점","재고보유","","","광장대리점","재고팀","","","OEM(SKN)"
"7","광장대리점","도매(판매점)","김경호","","김경호","기타거래처(1)","","삼성전자(주)","D13225","T0210277","(본사)김경호","2026-05-28","SM-S948N_512G","SM-S948NSO_512GW","A73U","10","화이트","1494884","","단말기","정상","2050400","2050400","2050400","2030600","삼성전자","2026-02-27","D13225A000","T0015391","광장대리점","신품향","93","2026-05-28","3","","미개봉","가용(이동입고)","5G(SA)","","광장대리점","재고보유","","","광장대리점","재고팀","","","유통"
"8","광장대리점","도매(판매점)","김경호","","김경호","기타거래처(1)","","삼성전자(주)","D13225","T0210277","(본사)김경호","2026-05-28","SM-S942N","SM-S942NW","A74H","10","화이트","0651534","","단말기","정상","1254000","1254000","1254000","1241900","SKNetworks","2026-05-23","D13225A000","T0015391","광장대리점","신품향","8","2026-05-28","3","","미개봉","가용(이동입고)","5G(SA)","","광장대리점","재고보유","","","광장대리점","재고팀","","","OEM(SKN)"
"9","광장대리점","도매(판매점)","김경호","","김경호","기타거래처(1)","","삼성전자(주)","D13225","T0210277","(본사)김경호","2026-05-23","SM-S942N","SM-S942NW","A74H","10","화이트","0651917","","단말기","정상","1254000","1254000","1254000","1241900","SKNetworks","2026-05-21","D13225A000","T0015391","광장대리점","신품향","10","2026-05-23","8","","미개봉","가용(이동입고)","5G(SA)","","광장대리점","재고보유","","","광장대리점","재고팀","","","OEM(SKN)"
"10","광장대리점","도매(판매점)","김경호","","김경호","기타거래처(1)","","삼성전자(주)","D13225","T0210277","(본사)김경호","2026-05-28","SM-S947N","SM-S947NV","A751","3C","바이올렛","0181331","","단말기","정상","1452000","1452000","1452000","1437700","SKNetworks","2026-04-30","D13225A000","T0015391","광장대리점","신품향","31","2026-05-28","3","","미개봉","가용(이동입고)","5G(SA)","","광장대리점","재고보유","","","광장대리점","재고팀","","","OEM(SKN)"
"11","광장대리점","도매(판매점)","김요한","","김요한","기타거래처(1)","","Apple","D13225","T0235069","(본사)김요한","2025-12-04","IP15P_128GB","IP15P_128GG","A553","22","회색","JG29XTT67G","","단말기","정상","1540000","1540000","1540000","1540000","SKNetworks","2024-07-06","D13225A000","T0015391","광장대리점","신품향","694","2025-12-04","178","","미개봉","가용(이동입고)","5G(NSA)","","광장대리점","재고보유","","","광장대리점","재고팀","","","OEM(SKN)"
